#type,time,ch,ticks,l,fL,v,fV,f,fF,o,scale,en,fEn,vDiff,vCnt,oDiff,envlp,envlpIndex,nE,nF,offset,data,wtblIndex,f1Ctrl,f2Ctrl,vCtrl,enCtrl
f1Ctrl,1.8660770975056737,0,112,,,,,,,,,1,,,,,,,,,31,64,1,160,3,10,31
f2Ctrl,1.8661451247165581,0,112,,,,,,,,,1,,,,,,,,,31,64,1,160,6,10,31
vCtrl,1.8664852607709799,0,112,,,,,,,,,1,,,,,,,,,31,64,1,160,6,15,31
vCtrl,1.882018140589574,0,113,,,,,,,,,1,,,,,,,,,31,64,1,160,6,14,31
vCtrl,1.898662131519279,0,114,,,,,,,,,1,,,,,,,,,31,64,1,160,6,13,31
vCtrl,1.9153514739229072,0,115,,,,,,,,,1,,,,,,,,,31,64,1,160,6,12,31
vCtrl,1.932018140589574,0,116,,,,,,,,,1,,,,,,,,,31,64,1,160,6,11,31
vCtrl,1.948707482993202,0,117,,,,,,,,,1,,,,,,,,,31,64,1,160,6,10,31
f1Ctrl,1.9657596371882136,0,118,,,,,,,,,1,,,,,,,,,31,64,1,80,6,10,31
f2Ctrl,1.965827664399098,0,118,,,,,,,,,1,,,,,,,,,31,64,1,80,3,10,31
vCtrl,1.9661678004535197,0,118,,,,,,,,,1,,,,,,,,,31,64,1,80,3,15,31
vCtrl,1.9822448979591885,0,119,,,,,,,,,1,,,,,,,,,31,64,1,80,3,14,31
vCtrl,1.9987981859410477,0,120,,,,,,,,,1,,,,,,,,,31,64,1,80,3,13,31
vCtrl,2.0155102040816373,0,121,,,,,,,,,1,,,,,,,,,31,64,1,80,3,12,31
vCtrl,2.0321315192743814,0,122,,,,,,,,,1,,,,,,,,,31,64,1,80,3,11,31
vCtrl,2.04882086167801,0,123,,,,,,,,,1,,,,,,,,,31,64,1,80,3,10,31
f1Ctrl,2.065918367346945,0,124,,,,,,,,,1,,,,,,,,,31,64,1,160,3,10,31
f2Ctrl,2.0659637188208677,0,124,,,,,,,,,1,,,,,,,,,31,64,1,160,6,10,31
vCtrl,2.0663038548752897,0,124,,,,,,,,,1,,,,,,,,,31,64,1,160,6,15,31
vCtrl,2.082176870748306,0,125,,,,,,,,,1,,,,,,,,,31,64,1,160,6,14,31
vCtrl,2.0988662131519344,0,126,,,,,,,,,1,,,,,,,,,31,64,1,160,6,13,31
vCtrl,2.1155782312925244,0,127,,,,,,,,,1,,,,,,,,,31,64,1,160,6,12,31
vCtrl,2.132358276643999,0,128,,,,,,,,,1,,,,,,,,,31,64,1,160,6,11,31
vCtrl,2.1490476190476273,0,129,,,,,,,,,1,,,,,,,,,31,64,1,160,6,10,31
f1Ctrl,2.1658730158730246,0,130,,,,,,,,,1,,,,,,,,,31,64,1,80,6,10,31
f2Ctrl,2.165941043083909,0,130,,,,,,,,,1,,,,,,,,,31,64,1,80,3,10,31
vCtrl,2.166281179138331,0,130,,,,,,,,,1,,,,,,,,,31,64,1,80,3,15,31
vCtrl,2.1823582766440004,0,131,,,,,,,,,1,,,,,,,,,31,64,1,80,3,14,31
vCtrl,2.199002267573706,0,132,,,,,,,,,1,,,,,,,,,31,64,1,80,3,13,31
vCtrl,2.2156916099773345,0,133,,,,,,,,,1,,,,,,,,,31,64,1,80,3,12,31
vCtrl,2.2324036281179245,0,134,,,,,,,,,1,,,,,,,,,31,64,1,80,3,11,31
vCtrl,2.249092970521553,0,135,,,,,,,,,1,,,,,,,,,31,64,1,80,3,10,31
f1Ctrl,2.2670975056689455,0,137,,,,,,,,,1,,,,,,,,,31,64,1,160,3,10,31
f2Ctrl,2.26716553287983,0,137,,,,,,,,,1,,,,,,,,,31,64,1,160,6,10,31
vCtrl,2.2675963718820977,0,137,,,,,,,,,1,,,,,,,,,31,64,1,160,6,15,31
vCtrl,2.282517006802733,0,137,,,,,,,,,1,,,,,,,,,31,64,1,160,6,14,31
vCtrl,2.2993424036281302,0,138,,,,,,,,,1,,,,,,,,,31,64,1,160,6,13,31
vCtrl,2.316099773242643,0,139,,,,,,,,,1,,,,,,,,,31,64,1,160,6,12,31
vCtrl,2.332653061224503,0,140,,,,,,,,,1,,,,,,,,,31,64,1,160,6,11,31
vCtrl,2.3493424036281314,0,141,,,,,,,,,1,,,,,,,,,31,64,1,160,6,10,31
f1Ctrl,2.366235827664413,0,142,,,,,,,,,1,,,,,,,,,31,64,1,80,6,10,31
f2Ctrl,2.366281179138336,0,142,,,,,,,,,1,,,,,,,,,31,64,1,80,3,10,31
vCtrl,2.366621315192758,0,142,,,,,,,,,1,,,,,,,,,31,64,1,80,3,15,31
vCtrl,2.3826984126984274,0,143,,,,,,,,,1,,,,,,,,,31,64,1,80,3,14,31
vCtrl,2.399387755102056,0,144,,,,,,,,,1,,,,,,,,,31,64,1,80,3,13,31
