#type,time,ch,ticks,l,fL,v,fV,f,fF,o,scale,en,fEn,vDiff,vCnt,oDiff,envlp,envlpIndex,nE,nF,offset,data,wtbIndex,fCtrlA,fCtrlB,wNCtrl,vVCtrl,aVCtrl,envPCtrlL,envPCtrlM,envShape,ioParallel1,ioParallel2
aVC,3.7805668934240875,0,227,,,,,,,,,2,,,,,,,,,,,,0,8,1,177,11,11,0,0,0,0
wNC,3.780884353741548,0,227,,,,,,,,,2,,,,,,,,,,,,0,8,4,177,11,11,0,0,0,0
aVC,3.896870748299373,0,234,,,,,,,,,2,,,,,,,,,,,,0,8,4,177,10,11,0,0,0,0
wNC,3.8971882086168335,0,234,,,,,,,,,2,,,,,,,,,,,,0,8,7,177,10,11,0,0,0,0
aVC,4.01351473922908,0,241,,,,,,,,,2,,,,,,,,,,,,0,8,7,177,8,11,0,0,0,0
wNC,4.01383219954654,0,241,,,,,,,,,2,,,,,,,,,,,,0,8,11,177,8,11,0,0,0,0
aVC,4.130022675737011,0,248,,,,,,,,,2,,,,,,,,,,,,0,8,11,177,6,11,0,0,0,0
wNC,4.13034013605447,0,248,,,,,,,,,2,,,,,,,,,,,,0,8,14,177,6,11,0,0,0,0
aVC,4.246326530612286,0,255,,,,,,,,,2,,,,,,,,,,,,0,8,14,177,4,11,0,0,0,0
wNC,4.246666666666708,0,255,,,,,,,,,2,,,,,,,,,,,,0,8,16,177,4,11,0,0,0,0
aVC,4.36297052154199,0,262,,,,,,,,,2,,,,,,,,,,,,0,8,16,179,3,11,0,0,0,0
fCB,4.478798185941082,0,269,,,,,,,,,2,,,,,,,,,,,,0,0,16,179,3,11,0,0,0,0
aVC,4.478843537415005,0,269,,,,,,,,,2,,,,,,,,,,,,0,0,16,179,0,11,0,0,0,0
mode,4.478843537415005,0,269,,,,,,,,,0,,,,,,,,,,,,0,0,16,187,0,11,0,0,0,0

fCA,9.070294784580498e-05,1,0,,,,,,,,,0,,,,,,,,,,,,0,0,0,187,0,11,0,0,0,0
fCB,0.00013605442176870748,1,0,,,,,,,,,0,,,,,,,,,,,,0,0,0,187,0,11,0,0,0,0
aVC,0.00018140589569160998,1,0,,,,,,,,,0,,,,,,,,,,,,0,0,0,187,0,11,0,0,0,0
fCA,1.797687074829936,1,108,,,,,,,,,0,,,,,,,,,,,,176,0,0,187,0,11,0,0,0,0
fCB,1.7977097505668975,1,108,,,,,,,,,0,,,,,,,,,,,,176,3,0,187,0,11,0,0,0,0
aVC,1.7977551020408205,1,108,,,,,,,,,0,,,,,,,,,,,,176,3,0,187,8,11,0,0,0,0
mode,1.7978911564625892,1,108,,,,,,,,,1,,,,,,,,,,,,176,3,0,185,8,11,0,0,0,0
fCA,1.8300453514739274,1,110,,,,,,,,,1,,,,,,,,,,,,128,3,0,184,8,11,0,0,0,0
fCA,1.8644897959183717,1,112,,,,,,,,,1,,,,,,,,,,,,80,3,0,184,8,11,0,0,0,0
fCA,1.8967346938775556,1,114,,,,,,,,,1,,,,,,,,,,,,32,3,0,184,8,11,0,0,0,0
fCA,1.9300907029478502,1,116,,,,,,,,,1,,,,,,,,,,,,240,3,0,184,8,11,0,0,0,0
fCB,1.9301133786848117,1,116,,,,,,,,,1,,,,,,,,,,,,240,2,0,184,8,11,0,0,0,0
fCA,1.9639909297052198,1,118,,,,,,,,,1,,,,,,,,,,,,176,2,0,184,8,11,0,0,0,0
fCB,1.9640362811791428,1,118,,,,,,,,,1,,,,,,,,,,,,176,3,0,184,8,11,0,0,0,0
fCA,1.9966893424036325,1,120,,,,,,,,,1,,,,,,,,,,,,128,3,0,184,8,11,0,0,0,0
fCA,2.0300453514739276,1,122,,,,,,,,,1,,,,,,,,,,,,80,3,0,184,8,11,0,0,0,0
fCA,2.064149659863951,1,124,,,,,,,,,1,,,,,,,,,,,,32,3,0,184,8,11,0,0,0,0
fCA,2.0967800453514807,1,126,,,,,,,,,1,,,,,,,,,,,,240,3,0,184,8,11,0,0,0,0
fCB,2.0968253968254036,1,126,,,,,,,,,1,,,,,,,,,,,,240,2,0,184,8,11,0,0,0,0
fCA,2.130272108843545,1,128,,,,,,,,,1,,,,,,,,,,,,128,2,0,184,8,11,0,0,0,0
fCB,2.1302947845805065,1,128,,,,,,,,,1,,,,,,,,,,,,128,3,0,184,8,11,0,0,0,0
fCA,2.163922902494339,1,130,,,,,,,,,1,,,,,,,,,,,,80,3,0,184,8,11,0,0,0,0
fCA,2.1967346938775605,1,132,,,,,,,,,1,,,,,,,,,,,,32,3,0,184,8,11,0,0,0,0
fCA,2.230090702947856,1,134,,,,,,,,,1,,,,,,,,,,,,240,3,0,184,8,11,0,0,0,0
fCB,2.230136054421779,1,134,,,,,,,,,1,,,,,,,,,,,,240,2,0,184,8,11,0,0,0,0
fCA,2.265079365079376,1,136,,,,,,,,,1,,,,,,,,,,,,200,2,0,184,8,11,0,0,0,0
fCA,2.2970521541950233,1,138,,,,,,,,,1,,,,,,,,,,,,128,2,0,184,8,11,0,0,0,0
fCB,2.2970748299319848,1,138,,,,,,,,,1,,,,,,,,,,,,128,3,0,184,8,11,0,0,0,0
fCA,2.3301587301587428,1,140,,,,,,,,,1,,,,,,,,,,,,80,3,0,184,8,11,0,0,0,0
fCA,2.3640816326530745,1,142,,,,,,,,,1,,,,,,,,,,,,32,3,0,184,8,11,0,0,0,0
fCA,2.3969160997732573,1,144,,,,,,,,,1,,,,,,,,,,,,240,3,0,184,8,11,0,0,0,0
fCB,2.3969387755102187,1,144,,,,,,,,,1,,,,,,,,,,,,240,2,0,184,8,11,0,0,0,0
fCA,2.430090702947861,1,146,,,,,,,,,1,,,,,,,,,,,,200,2,0,184,8,11,0,0,0,0
fCA,2.4644897959183836,1,148,,,,,,,,,1,,,,,,,,,,,,80,2,0,184,8,11,0,0,0,0
fCB,2.464512471655345,1,148,,,,,,,,,1,,,,,,,,,,,,80,3,0,184,8,11,0,0,0,0
fCA,2.4967800453514912,1,150,,,,,,,,,1,,,,,,,,,,,,32,3,0,184,8,11,0,0,0,0
fCA,2.530136054421787,1,152,,,,,,,,,1,,,,,,,,,,,,240,3,0,184,8,11,0,0,0,0
fCB,2.5301814058957097,1,152,,,,,,,,,1,,,,,,,,,,,,240,2,0,184,8,11,0,0,0,0
fCA,2.56408163265308,1,154,,,,,,,,,1,,,,,,,,,,,,200,2,0,184,8,11,0,0,0,0
fCA,2.5969160997732628,1,156,,,,,,,,,1,,,,,,,,,,,,160,2,0,184,8,11,0,0,0,0
fCA,2.6303174603174813,1,158,,,,,,,,,1,,,,,,,,,,,,80,2,0,184,8,11,0,0,0,0
fCB,2.630362811791404,1,158,,,,,,,,,1,,,,,,,,,,,,80,3,0,184,8,11,0,0,0,0
fCA,2.6643764172335818,1,160,,,,,,,,,1,,,,,,,,,,,,32,3,0,184,8,11,0,0,0,0
fCA,2.6970068027211114,1,162,,,,,,,,,1,,,,,,,,,,,,240,3,0,184,8,11,0,0,0,0
fCB,2.6970521541950343,1,162,,,,,,,,,1,,,,,,,,,,,,240,2,0,184,8,11,0,0,0,0
fCA,2.730362811791407,1,164,,,,,,,,,1,,,,,,,,,,,,200,2,0,184,8,11,0,0,0,0
fCA,2.7642857142857387,1,166,,,,,,,,,1,,,,,,,,,,,,160,2,0,184,8,11,0,0,0,0
fCA,2.7972108843537673,1,168,,,,,,,,,1,,,,,,,,,,,,32,2,0,184,8,11,0,0,0,0
fCB,2.7972562358276902,1,168,,,,,,,,,1,,,,,,,,,,,,32,3,0,184,8,11,0,0,0,0
fCA,2.8303174603174868,1,170,,,,,,,,,1,,,,,,,,,,,,240,3,0,184,8,11,0,0,0,0
fCB,2.8303628117914097,1,170,,,,,,,,,1,,,,,,,,,,,,240,2,0,184,8,11,0,0,0,0
fCA,2.865124716553315,1,172,,,,,,,,,1,,,,,,,,,,,,200,2,0,184,8,11,0,0,0,0
fCA,2.8967573696145403,1,174,,,,,,,,,1,,,,,,,,,,,,160,2,0,184,8,11,0,0,0,0
fCA,2.930158730158759,1,176,,,,,,,,,1,,,,,,,,,,,,120,2,0,184,8,11,0,0,0,0
fCA,2.9642176870748593,1,178,,,,,,,,,1,,,,,,,,,,,,32,2,0,184,8,11,0,0,0,0
fCB,2.964240362811821,1,178,,,,,,,,,1,,,,,,,,,,,,32,3,0,184,8,11,0,0,0,0
fCA,2.9969614512471963,1,180,,,,,,,,,1,,,,,,,,,,,,240,3,0,184,8,11,0,0,0,0
fCB,2.997006802721119,1,180,,,,,,,,,1,,,,,,,,,,,,240,2,0,184,8,11,0,0,0,0
fCA,3.030317460317492,1,182,,,,,,,,,1,,,,,,,,,,,,200,2,0,184,8,11,0,0,0,0
fCA,3.0646258503401684,1,184,,,,,,,,,1,,,,,,,,,,,,160,2,0,184,8,11,0,0,0,0
fCA,3.097006802721122,1,186,,,,,,,,,1,,,,,,,,,,,,120,2,0,184,8,11,0,0,0,0
fCA,3.1304535147392634,1,188,,,,,,,,,1,,,,,,,,,,,,240,2,0,184,8,11,0,0,0,0
fCA,3.1643083900227107,1,190,,,,,,,,,1,,,,,,,,,,,,200,2,0,184,8,11,0,0,0,0
fCA,3.1971428571428935,1,192,,,,,,,,,1,,,,,,,,,,,,160,2,0,184,8,11,0,0,0,0
fCA,3.230453514739266,1,194,,,,,,,,,1,,,,,,,,,,,,120,2,0,184,8,11,0,0,0,0
fCA,3.2646031746032125,1,196,,,,,,,,,1,,,,,,,,,,,,80,2,0,184,8,11,0,0,0,0
fCA,3.297324263038588,1,198,,,,,,,,,1,,,,,,,,,,,,240,2,0,184,8,11,0,0,0,0
fCA,3.3305895691610377,1,200,,,,,,,,,1,,,,,,,,,,,,200,2,0,184,8,11,0,0,0,0
fCA,3.364535147392331,1,202,,,,,,,,,1,,,,,,,,,,,,160,2,0,184,8,11,0,0,0,0
fCA,3.3973696145125136,1,204,,,,,,,,,1,,,,,,,,,,,,120,2,0,184,8,11,0,0,0,0
fCA,3.430725623582809,1,206,,,,,,,,,1,,,,,,,,,,,,80,2,0,184,8,11,0,0,0,0
fCA,3.4661451247165966,1,208,,,,,,,,,1,,,,,,,,,,,,0,2,0,184,8,11,0,0,0,0
fCB,3.4661904761905196,1,208,,,,,,,,,1,,,,,,,,,,,,0,3,0,184,8,11,0,0,0,0
aVC,3.4662358276644425,1,208,,,,,,,,,1,,,,,,,,,,,,0,3,0,184,14,11,0,0,0,0
fCA,3.4815873015873455,1,209,,,,,,,,,1,,,,,,,,,,,,80,3,0,184,14,11,0,0,0,0
wNC,3.481859410430883,1,209,,,,,,,,,1,,,,,,,,,,,,80,3,31,184,14,11,0,0,0,0
fCA,3.4978458049887067,1,210,,,,,,,,,1,,,,,,,,,,,,0,3,31,176,14,11,0,0,0,0
fCB,3.497868480725668,1,210,,,,,,,,,1,,,,,,,,,,,,0,4,31,176,14,11,0,0,0,0
fCA,3.514421768707528,1,211,,,,,,,,,1,,,,,,,,,,,,128,4,31,176,14,11,0,0,0,0
fCA,3.5310657596372335,1,212,,,,,,,,,1,,,,,,,,,,,,0,4,31,176,14,11,0,0,0,0
fCB,3.5311111111111564,1,212,,,,,,,,,1,,,,,,,,,,,,0,5,31,176,14,11,0,0,0,0
fCB,3.547845804988708,1,213,,,,,,,,,1,,,,,,,,,,,,0,6,31,176,14,11,0,0,0,0
fCB,3.5648526077097964,1,214,,,,,,,,,1,,,,,,,,,,,,0,8,31,176,14,11,0,0,0,0
fCB,3.5809977324263507,1,215,,,,,,,,,1,,,,,,,,,,,,0,9,31,176,14,11,0,0,0,0
fCB,3.597687074829979,1,216,,,,,,,,,1,,,,,,,,,,,,0,3,31,176,14,11,0,0,0,0
fCA,3.6141723356009545,1,217,,,,,,,,,1,,,,,,,,,,,,80,3,31,176,14,11,0,0,0,0
wNC,3.614444444444492,1,217,,,,,,,,,1,,,,,,,,,,,,80,3,29,176,14,11,0,0,0,0
fCA,3.630702947845853,1,218,,,,,,,,,1,,,,,,,,,,,,0,3,29,177,14,11,0,0,0,0
fCB,3.6307482993197757,1,218,,,,,,,,,1,,,,,,,,,,,,0,4,29,177,14,11,0,0,0,0
wNC,3.63081632653066,1,218,,,,,,,,,1,,,,,,,,,,,,0,4,26,177,14,11,0,0,0,0
fCA,3.647233560090751,1,219,,,,,,,,,1,,,,,,,,,,,,128,4,26,177,14,11,0,0,0,0
wNC,3.64752834467125,1,219,,,,,,,,,1,,,,,,,,,,,,128,4,23,177,14,11,0,0,0,0
fCA,3.6648752834467606,1,220,,,,,,,,,1,,,,,,,,,,,,0,4,23,177,14,11,0,0,0,0
fCB,3.6649206349206835,1,220,,,,,,,,,1,,,,,,,,,,,,0,5,23,177,14,11,0,0,0,0
wNC,3.665147392290298,1,220,,,,,,,,,1,,,,,,,,,,,,0,5,19,177,14,11,0,0,0,0
fCB,3.68063492063497,1,221,,,,,,,,,1,,,,,,,,,,,,0,6,19,177,14,11,0,0,0,0
wNC,3.6808616780045846,1,221,,,,,,,,,1,,,,,,,,,,,,0,6,16,177,14,11,0,0,0,0
fCB,3.697256235827714,1,222,,,,,,,,,1,,,,,,,,,,,,0,8,16,177,14,11,0,0,0,0
wNC,3.6974829931973288,1,222,,,,,,,,,1,,,,,,,,,,,,0,8,12,177,14,11,0,0,0,0
fCB,3.7139455782313426,1,223,,,,,,,,,1,,,,,,,,,,,,0,9,12,177,14,11,0,0,0,0
wNC,3.714013605442227,1,223,,,,,,,,,1,,,,,,,,,,,,0,9,9,177,14,11,0,0,0,0
fCB,3.7308163265306624,1,224,,,,,,,,,1,,,,,,,,,,,,0,3,9,177,14,11,0,0,0,0
aVC,3.7308616780045853,1,224,,,,,,,,,1,,,,,,,,,,,,0,3,9,177,12,11,0,0,0,0
wNC,3.7310657596372385,1,224,,,,,,,,,1,,,,,,,,,,,,0,3,6,177,12,11,0,0,0,0
fCA,3.7470975056689846,1,225,,,,,,,,,1,,,,,,,,,,,,80,3,6,177,12,11,0,0,0,0
wNC,3.747369614512522,1,225,,,,,,,,,1,,,,,,,,,,,,80,3,3,177,12,11,0,0,0,0
fCA,3.7643537414966493,1,226,,,,,,,,,1,,,,,,,,,,,,0,3,3,177,12,11,0,0,0,0
fCB,3.7643764172336107,1,226,,,,,,,,,1,,,,,,,,,,,,0,4,3,177,12,11,0,0,0,0
wNC,3.764625850340187,1,226,,,,,,,,,1,,,,,,,,,,,,0,4,1,177,12,11,0,0,0,0
fCA,3.7806122448980104,1,227,,,,,,,,,1,,,,,,,,,,,,128,4,1,177,12,11,0,0,0,0
wNC,3.780884353741548,1,227,,,,,,,,,1,,,,,,,,,,,,128,4,4,177,12,11,0,0,0,0
