#type,time,ch,ticks,l,fL,v,fV,f,fF,o,scale,en,fEn,vDiff,vCnt,oDiff,envlp,envlpIndex,nE,nF,offset,data,wtbIndex,fCtrlA,fCtrlB,wNCtrl,vVCtrl,aVCtrl,envPCtrlL,envPCtrlM,envShape,ioParallel1,ioParallel2
aVC,0.6452834467120185,2,39,,,,,,,,,1,,,,,,,,,,,,64,5,0,187,7,0,3,9,0,0
fCA,0.6629478458049891,1,40,,,,,,,,,0,,,,,,,,,,,,208,8,0,187,18,0,3,9,0,0
fCB,0.6629705215419506,1,40,,,,,,,,,0,,,,,,,,,,,,208,3,0,187,18,0,3,9,0,0
aVC,0.6629705215419506,2,40,,,,,,,,,1,,,,,,,,,,,,64,5,0,187,13,0,3,9,0,0
evS,0.6629705215419506,0,40,,,,,,,,,0,,,,,,,,,,,,0,0,0,187,0,0,3,9,0,0
evS,0.6629705215419506,1,40,,,,,,,,,0,,,,,,,,,,,,208,3,0,187,18,0,3,9,0,0
evS,0.6629705215419506,2,40,,,,,,,,,1,,,,,,,,,,,,64,5,0,187,13,0,3,9,0,0
mode,0.6631065759637192,1,40,,,,,,,,,1,,,,,,,,,,,,208,3,0,185,18,0,3,9,0,0
fCA,0.6784807256235832,1,41,,,,,,,,,1,,,,,,,,,,,,0,3,0,185,18,0,3,9,0,0
fCB,0.6785260770975061,1,41,,,,,,,,,1,,,,,,,,,,,,0,6,0,185,18,0,3,9,0,0
aVC,0.6786621315192748,2,41,,,,,,,,,1,,,,,,,,,,,,64,5,0,185,12,0,3,9,0,0
fCB,0.6952154195011342,1,42,,,,,,,,,1,,,,,,,,,,,,0,7,0,185,18,0,3,9,0,0
aVC,0.6953514739229029,2,42,,,,,,,,,1,,,,,,,,,,,,64,5,0,185,11,0,3,9,0,0
fCB,0.7119047619047623,1,43,,,,,,,,,1,,,,,,,,,,,,0,8,0,185,18,0,3,9,0,0
aVC,0.7120408163265309,2,43,,,,,,,,,1,,,,,,,,,,,,64,5,0,185,10,0,3,9,0,0
mode,0.728571428571429,1,44,,,,,,,,,0,,,,,,,,,,,,0,8,0,187,18,0,3,9,0,0
aVC,0.7450566893424041,2,45,,,,,,,,,1,,,,,,,,,,,,64,5,0,187,9,0,3,9,0,0
aVC,0.7617460317460323,2,46,,,,,,,,,1,,,,,,,,,,,,64,5,0,187,8,0,3,9,0,0
aVC,0.7784353741496605,2,47,,,,,,,,,1,,,,,,,,,,,,64,5,0,187,7,0,3,9,0,0
fCA,0.7961678004535154,1,48,,,,,,,,,0,,,,,,,,,,,,176,8,0,187,18,0,3,9,0,0
fCB,0.7961904761904769,1,48,,,,,,,,,0,,,,,,,,,,,,176,1,0,187,18,0,3,9,0,0
fCA,0.7963038548752841,2,48,,,,,,,,,1,,,,,,,,,,,,160,5,0,187,7,0,3,9,0,0
fCB,0.7963265306122456,2,48,,,,,,,,,1,,,,,,,,,,,,160,2,0,187,7,0,3,9,0,0
aVC,0.7963718820861685,2,48,,,,,,,,,1,,,,,,,,,,,,160,2,0,187,13,0,3,9,0,0
ePL,0.7964625850340143,0,48,,,,,,,,,0,,,,,,,,,,,,0,0,0,187,0,66,3,9,0,0
ePL,0.7964625850340143,1,48,,,,,,,,,0,,,,,,,,,,,,176,1,0,187,18,66,3,9,0,0
ePL,0.7964625850340143,2,48,,,,,,,,,1,,,,,,,,,,,,160,2,0,187,13,66,3,9,0,0
evM,0.7965079365079373,0,48,,,,,,,,,0,,,,,,,,,,,,0,0,0,187,0,66,0,9,0,0
evM,0.7965079365079373,1,48,,,,,,,,,0,,,,,,,,,,,,176,1,0,187,18,66,0,9,0,0
evM,0.7965079365079373,2,48,,,,,,,,,1,,,,,,,,,,,,160,2,0,187,13,66,0,9,0,0
evS,0.7965532879818602,0,48,,,,,,,,,0,,,,,,,,,,,,0,0,0,187,0,66,0,10,0,0
evS,0.7965532879818602,1,48,,,,,,,,,0,,,,,,,,,,,,176,1,0,187,18,66,0,10,0,0
evS,0.7965532879818602,2,48,,,,,,,,,1,,,,,,,,,,,,160,2,0,187,13,66,0,10,0,0
mode,0.7966893424036289,1,48,,,,,,,,,1,,,,,,,,,,,,176,1,0,185,18,66,0,10,0,0
aVC,0.8123356009070303,1,49,,,,,,,,,1,,,,,,,,,,,,176,1,0,185,10,66,0,10,0,0
aVC,0.8124489795918375,2,49,,,,,,,,,1,,,,,,,,,,,,160,2,0,185,12,66,0,10,0,0
wNC,0.8125396825396833,0,49,,,,,,,,,0,,,,,,,,,,,,0,0,8,185,0,66,0,10,0,0
wNC,0.8125396825396833,1,49,,,,,,,,,1,,,,,,,,,,,,176,1,8,185,10,66,0,10,0,0
wNC,0.8125396825396833,2,49,,,,,,,,,1,,,,,,,,,,,,160,2,8,185,12,66,0,10,0,0
mode,0.812675736961452,1,49,,,,,,,,,2,,,,,,,,,,,,176,1,8,171,10,66,0,10,0,0
aVC,0.8287301587301595,1,50,,,,,,,,,2,,,,,,,,,,,,176,1,8,171,9,66,0,10,0,0
aVC,0.8288435374149667,2,50,,,,,,,,,1,,,,,,,,,,,,160,2,8,171,11,66,0,10,0,0
aVC,0.8454195011337876,1,51,,,,,,,,,2,,,,,,,,,,,,176,1,8,171,8,66,0,10,0,0
aVC,0.8455555555555563,2,51,,,,,,,,,1,,,,,,,,,,,,160,2,8,171,10,66,0,10,0,0
aVC,0.8620634920634929,1,52,,,,,,,,,2,,,,,,,,,,,,176,1,8,171,7,66,0,10,0,0
aVC,0.8787528344671209,1,53,,,,,,,,,2,,,,,,,,,,,,176,1,8,171,6,66,0,10,0,0
aVC,0.8788888888888896,2,53,,,,,,,,,1,,,,,,,,,,,,160,2,8,171,9,66,0,10,0,0
aVC,0.895442176870749,1,54,,,,,,,,,2,,,,,,,,,,,,176,1,8,171,5,66,0,10,0,0
aVC,0.8955782312925177,2,54,,,,,,,,,1,,,,,,,,,,,,160,2,8,171,8,66,0,10,0,0
aVC,0.9121541950113385,1,55,,,,,,,,,2,,,,,,,,,,,,176,1,8,171,4,66,0,10,0,0
aVC,0.9122675736961458,2,55,,,,,,,,,1,,,,,,,,,,,,160,2,8,171,7,66,0,10,0,0
aVC,0.9297278911564633,1,56,,,,,,,,,2,,,,,,,,,,,,176,1,8,171,9,66,0,10,0,0
fCA,0.9297732426303862,2,56,,,,,,,,,1,,,,,,,,,,,,64,2,8,171,7,66,0,10,0,0
fCB,0.9298185941043091,2,56,,,,,,,,,1,,,,,,,,,,,,64,5,8,171,7,66,0,10,0,0
aVC,0.929863945578232,2,56,,,,,,,,,1,,,,,,,,,,,,64,5,8,171,13,66,0,10,0,0
wNC,0.9299319727891164,0,56,,,,,,,,,0,,,,,,,,,,,,0,0,0,171,0,66,0,10,0,0
wNC,0.9299319727891164,1,56,,,,,,,,,2,,,,,,,,,,,,176,1,0,171,9,66,0,10,0,0
wNC,0.9299319727891164,2,56,,,,,,,,,1,,,,,,,,,,,,64,5,0,171,13,66,0,10,0,0
aVC,0.9453741496598648,2,57,,,,,,,,,1,,,,,,,,,,,,64,5,0,171,12,66,0,10,0,0
mode,0.9453741496598648,1,57,,,,,,,,,0,,,,,,,,,,,,176,1,0,187,9,66,0,10,0,0
aVC,0.9618367346938784,2,58,,,,,,,,,1,,,,,,,,,,,,64,5,0,187,11,66,0,10,0,0
aVC,0.9785487528344681,2,59,,,,,,,,,1,,,,,,,,,,,,64,5,0,187,10,66,0,10,0,0
fCA,1.0631519274376429,1,64,,,,,,,,,0,,,,,,,,,,,,208,1,0,187,9,66,0,10,0,0
fCB,1.0631972789115658,1,64,,,,,,,,,0,,,,,,,,,,,,208,3,0,187,9,66,0,10,0,0
aVC,1.0632426303854887,1,64,,,,,,,,,0,,,,,,,,,,,,208,3,0,187,18,66,0,10,0,0
ePL,1.0634693877551031,0,64,,,,,,,,,0,,,,,,,,,,,,0,0,0,187,0,0,0,10,0,0
ePL,1.0634693877551031,1,64,,,,,,,,,0,,,,,,,,,,,,208,3,0,187,18,0,0,10,0,0
ePL,1.0634693877551031,2,64,,,,,,,,,1,,,,,,,,,,,,64,5,0,187,10,0,0,10,0,0
